Group,Module Code,Module Name,Question ID,Review Mode,Impact Level,Question Text,Helper Text,Response Options,Condition
Before Arrival,B1,Pre-visit information,B1-F-1,Pulse Check,high,Do you have accessibility information available for customers before they visit?,"Examples: a dedicated accessibility page, accessibility guide, social story or visual narrative, information included across relevant pages, or clear pre-visit guidance.","Yes | Partially | No | Not sure",
Before Arrival,B1,Pre-visit information,B1-F-2A,Pulse Check,medium,What's currently stopping you from sharing accessibility information?,"Select all that apply","Not sure what to include | Don't have time or resources | Concerned about accuracy | Don't think it's needed | Other",B1-F-1 = No OR Not sure
Before Arrival,B1,Pre-visit information,B1-F-3A,Pulse Check,medium,Where would it be easiest to start sharing accessibility information?,Select one or more options,"Website | Social media | Booking confirmation emails | Printed materials | Google Business Profile | Other",B1-F-1 = No OR Not sure
Before Arrival,B1,Pre-visit information,B1-F-2B,Pulse Check,medium,What types of accessibility information do you currently share?,"Select all that apply. This might include physical access details, sensory environment, what to expect during a visit, transport and parking, or information about equipment and resources available such as sensory kits, sensory maps, or wheelchair hire.","Physical access (entrances, parking, toilets) | Sensory environment (noise, lighting, crowds) | What to expect during a visit | Transport and parking | Equipment and resources available (sensory kits, sensory maps, wheelchair hire) | Contact information for accessibility questions | None of these",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-F-3B,Pulse Check,medium,How confident are you that this information is accurate and up to date?,,"Very confident | Fairly confident | Not very confident | Not sure",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-F-4,Deep Dive,low,Would you like us to review a link to your accessibility information to help identify gaps and opportunities?,This review is indicative only and based on publicly available information. It does not verify accuracy or confirm compliance.,"Yes | No",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-F-4-link,Deep Dive,low,Paste the link where your accessibility information is shared,This review is indicative only and based on publicly available information. It does not verify accuracy or confirm compliance.,Free text (URL),B1-F-4 = Yes
Before Arrival,B1,Pre-visit information,B1-F-5,Pulse Check,high,Can customers contact you in a variety of ways to ask accessibility questions before visiting?,"Examples include phone, email, social media, contact forms, or booking enquiries.","Yes | Limited options | No | Not sure",
Before Arrival,B1,Pre-visit information,B1-F-6,Pulse Check,high,Do staff know how to confidently respond to accessibility enquiries?,,"Yes | Sometimes | No | Not sure",
Before Arrival,B1,Pre-visit information,B1-F-7,Pulse Check,medium,Do you offer familiarisation visits or orientation sessions?,"Familiarisation visits allow people to visit your venue before their main visit to become comfortable with the environment, layout, staff, and what to expect. This is especially helpful for people with autism, anxiety, cognitive disabilities, or sensory sensitivities.

Familiarisation might include:
• Pre-visit tours at quieter times
• Virtual walkthroughs or video tours
• Social stories or visual guides
• Meeting key staff beforehand
• Exploring the space without pressure to participate

This can significantly reduce anxiety and improve the overall experience.","Yes | On request | Considering it | No",
Before Arrival,B1,Pre-visit information,B1-F-8,Pulse Check,medium,Do you provide information about accessible transport options to reach your venue?,"Transport information helps people plan their journey. This might include:

• Nearest accessible public transport stops
• Accessible parking locations
• Drop-off points and pick-up arrangements
• Walking distances from transport
• Taxi or ride-share drop-off information
• Accessible route maps

This information is particularly helpful when included in pre-visit communications or on your website.","Yes | Partially | No | Not sure",
Before Arrival,B1,Pre-visit information,B1-D-1a,Deep Dive,high,Where is your accessibility information published?,"Select all that apply. Understanding where your information lives helps identify whether customers can find it easily, and whether it's consistent across platforms.

Note: Accessibility information buried in FAQs or general information pages can be difficult for customers to find. A dedicated, clearly labelled accessibility page is easier to locate and signals that accessibility matters to your organisation.","Dedicated accessibility page | Scattered across multiple pages | Within FAQs or general information | PDFs or downloadable documents | Third-party platforms (Google, booking sites) | Social media only | Other",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-1b,Deep Dive,high,How easy is it to find your accessibility information from your homepage?,"This measures findability, which is one of the most common real-world failures in accessibility information. Even well-written content has limited value if customers cannot locate it.","One click | Two to three clicks | Hard to locate or requires searching | Not sure",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-1c,Deep Dive,medium,Is this information written primarily for customers or for compliance?,"Customer-focused information helps people make decisions and plan visits. Compliance-focused information often uses technical language and may not answer the questions customers actually have.

The most useful accessibility information does both: it meets obligations while genuinely helping people understand what to expect.","Primarily for customers | Primarily for compliance | A mix of both | Not sure",B1-F-1 = Yes OR Partially
Before Arrival,B1,Pre-visit information,B1-D-2a,Deep Dive,high,Does your physical access information include specific details that help customers plan?,"Select all that apply. Decision-enabling information goes beyond general statements to include specifics that help people assess whether your venue works for them.

This might include:
• Measurements (door widths, gradients)
• Photos of entrances and toilets
• Step-free route descriptions
• Notes about limitations or constraints

General statements like 'we are accessible' are less useful than specific, honest details.","Measurements (door widths, gradients) | Photos of entrances and toilets | Step-free route descriptions | Notes about limitations or constraints | None of these",B1-F-2B includes Physical access
