SendOrder,Wave,PlannedSendDate,DateSent,ContactedPerson,Status,LastContactDate,NextActionDate,Notes,Hook,Tier,Council,Region,DAIP status,Send to,Inclusion/DAIP contact,Econ Dev contact,General contact,Website
1,1,2026-05-19,,,Not started,,,,"Joint Riverland DAIP closes 27 May. Lead council in 3-way. Reference JFA Purple Orange facilitation.",1,Renmark Paringa Council,Riverland,"Joint Riverland DAIP 2026–2030, consultation closes 27 May 2026 (JFA Purple Orange facilitating)","Stephanie Brookes, Manager Community Development. connect@renmarkparinga.sa.gov.au","Stephanie Brookes, Manager Community Development (email via general)",not found. Use general,"connect@renmarkparinga.sa.gov.au, (08) 8580 3000",https://www.renmarkparinga.sa.gov.au
2,1,2026-05-19,,,Not started,,,,"Riverland joint DAIP, 27 May close. Ask for Community Wellbeing / DAIP lead. CC Stephanie Brookes if appropriate.",1,Berri Barmera Council,Riverland,"Joint Riverland DAIP 2026–2030 (with RPC + Loxton Waikerie), consultation closes 27 May 2026",bbc@bbc.sa.gov.au (ask for Community Wellbeing / DAIP lead),Team only,"Chloe Drogemuller, Project Manager Growth and Activation (email via general)","bbc@bbc.sa.gov.au, (08) 8582 1922",https://www.berribarmera.sa.gov.au
3,1,2026-05-19,,,Not started,,,,"Riverland joint DAIP, 27 May close. Ask for DAIP lead.",1,District Council of Loxton Waikerie,Riverland,"Joint Riverland DAIP 2026–2030, consultation closes 27 May 2026",council@lwdc.sa.gov.au (ask for DAIP lead),Team only,not found. Use general,"council@lwdc.sa.gov.au, (08) 8584 8000",https://www.loxtonwaikerie.sa.gov.au
4,1,2026-05-19,,,Not started,,,,"Draft DAIP out for public feedback right now (May 2026). Hot iron. Ask for Community/Inclusion lead.",1,Port Pirie Regional Council,Mid North / Central,Draft DAIP out for public feedback May 2026 (current),council@pirie.sa.gov.au (ask for Community/Inclusion lead for draft DAIP),Team only. Community engagement page,"Chris Davey, Director Development and Regulation (email via general); Luigi Mesisca, Director (email via general). Economic development sits within Development and Regulation portfolio","council@pirie.sa.gov.au, (08) 8633 9777",https://www.pirie.sa.gov.au
5,2,2026-05-26,,,Not started,,,,"DAIP 2025–2029 just adopted. Open with congratulations on new DAIP.",1,Mount Barker District Council,Adelaide Hills / Fleurieu,"DAIP 2025–2029 draft consulted Nov–Dec 2025, recently launched / adopted","Egon Loh, Community Development Officer. council@mountbarker.sa.gov.au","Egon Loh, Community Development Officer, (08) 8393 7633 (email via council general)","Luke Gray, Manager Strategic Projects & Economic Development (email via general); Nathan Farnell, Acting Manager Economy and Activation, nfarnell@mountbarker.sa.gov.au, (08) 8391 7200; business team: connect@mountbarker.sa.gov.au","council@mountbarker.sa.gov.au, (08) 8391 7200",https://www.mountbarker.sa.gov.au
6,2,2026-05-26,,,Not started,,,,"DAIP 2025–2029 adopted 3 Feb 2026. Implementation phase.",1,Campbelltown City Council,Metro Adelaide,DAIP 2025–2029 adopted 3 Feb 2026 (post-consultation),"Rachel McCaskill, CDO (Social Inclusion). mail@campbelltown.sa.gov.au","Rachel McCaskill, Community Development Officer (Social Inclusion), (08) 8366 9353, mail@campbelltown.sa.gov.au",not found. Use general,"mail@campbelltown.sa.gov.au, (08) 8366 9222",https://www.campbelltown.sa.gov.au
7,2,2026-05-26,,,Not started,,,,"DAIP 2025–2029 endorsed Jan 2026. Limestone Coast — first regional adopter contact.",1,City of Mount Gambier,Limestone Coast,DAIP 2025–2029 endorsed January 2026 (post-consultation),"Chloe Rattray, CDO. city@mountgambier.sa.gov.au","Chloe Rattray, Community Development Officer, (08) 8721 2540, city@mountgambier.sa.gov.au","Tim Coote, General Manager City Growth (email via general). City Growth portfolio covers economic development","city@mountgambier.sa.gov.au, (08) 8721 2555",https://www.mountgambier.sa.gov.au
8,2,2026-05-26,,,Not started,,,,"Draft DAIP 2026–2030 closed 6 Mar, now in adoption.",1,City of Victor Harbor,Fleurieu,"Draft DAIP 2026–2030 out for consultation, closed 6 March 2026 (now in adoption phase)","Leann Symonds, Manager Community Wellbeing. localgov@victor.sa.gov.au","Leann Symonds, Manager Community Wellbeing (email via general)",Not found. Use general; Visitor Centre / Tourism team 8551 0770,"localgov@victor.sa.gov.au, (08) 8551 0500",https://www.victor.sa.gov.au
9,2,2026-05-26,,,Not started,,,,"Has direct DAIP contact + Limestone Coast cluster (good Mount Gambier follow-on).",2,District Council of Robe,Limestone Coast,Access & Inclusion page live; refresh cycle assumed,"Camille Lehmann, Manager Community Development. camille@robe.sa.gov.au","Camille Lehmann, Manager Community Development, camille@robe.sa.gov.au",Not found. Use general (small council; CEO Natalie Traeger; econ dev likely sits with Manager Community Development),"council@robe.sa.gov.au, (08) 8768 2003",https://www.robe.sa.gov.au
10,3,2026-05-28,,,Not started,,,,"DAIP 2026–2030, survey closed 31 Aug 2025, in adoption. Major metro. Ask for DAIP project lead via Your Say Charles Sturt.",1,City of Charles Sturt,Metro Adelaide,"Draft DAIP 2026–2030, survey closed 31 Aug 2025, now in adoption phase",council@charlessturt.sa.gov.au (ask for DAIP project lead via Your Say Charles Sturt),Team only. Your Say Charles Sturt,"Selma Barlow, Economic Development Coordinator (email via general); Matthew Hof, Acting Manager Business (email via general)","council@charlessturt.sa.gov.au, (08) 8408 1111",https://www.charlessturt.sa.gov.au
