Tier,Council,Region,DAIP status,Inclusion/DAIP contact,Econ Dev contact,General contact,Website
1,City of Perth,Perth Metro,"DAIP 2026–2031 currently in consultation (Engage Perth platform); built on DAIP 2021–2025 which won 2024 Most Accessible Communities WA Award; AIAG active since 1998",team only — Engage Perth platform; AIAG coordinator,not found — use general,"info@cityofperth.wa.gov.au, (08) 9461 3333",https://www.perth.wa.gov.au
1,City of Armadale,Perth Metro,"DAIP 2026–2031 in development, community feedback open via Engage Armadale; builds on 2021–2026 plan; Access and Inclusion Reference Group active","team only — info@armadale.wa.gov.au, (08) 9394 5000",not found — use general,"info@armadale.wa.gov.au, (08) 9394 5000",https://www.armadale.wa.gov.au
1,City of Mandurah,Peel,"AIP 2026–2031 in development; community survey closed 14 December 2025; workshops underway; due for adoption mid-2026",team only — Mandurah Matters portal,Caroline Knight Director City Futures (email via general),"council@mandurah.wa.gov.au, (08) 9550 3777",https://www.mandurah.wa.gov.au
1,City of Stirling,Perth Metro,"AIP 2025–2030 in development; review launched with extensive community consultation; dedicated channel accessandinclusion@stirling.wa.gov.au",accessandinclusion@stirling.wa.gov.au (team email),not found — use general,"enquiries@stirling.wa.gov.au, (08) 9205 8555",https://www.stirling.wa.gov.au
1,City of Fremantle,Perth Metro,DAIP 2026–2030 in co-design phase; engagement led by inclusion@fremantle.wa.gov.au,inclusion@fremantle.wa.gov.au (team email),not found — use general,"info@fremantle.wa.gov.au, (08) 9432 9999",https://www.fremantle.wa.gov.au
1,City of Rockingham,Perth Metro,DAIP 2026–2031 in development (Share Your Thoughts portal); current 2022–2026 expires this year,team only — yourthoughts.rockingham.wa.gov.au/DAIP,not found — use general,"customer@rockingham.wa.gov.au, (08) 9528 0333",https://www.rockingham.wa.gov.au
1,City of Kwinana,Perth Metro,DAIP 2021–2026 currently being reviewed; refresh due,team only — Love My Kwinana,not found — use general,"customer@kwinana.wa.gov.au, (08) 9439 0200",https://www.kwinana.wa.gov.au
1,Shire of Broome,Kimberley,DAIP review in progress 2025–2026,team only — Access and Inclusion page,not found — use general,"shire@broome.wa.gov.au, (08) 9191 3456",https://www.broome.wa.gov.au
1,City of Karratha,Pilbara,DAIP listed under Strategic Plans; refresh due under 5-year cycle. Pilbara high-budget priority (mining royalties),team only — Accessibility and Inclusion page,Greg Quinlivan GM Strategic Projects (email via general); Alex Lugg Manager Economic Development (email via general),"enquiries@karratha.wa.gov.au, (08) 9186 8555",https://karratha.wa.gov.au
1,Town of Port Hedland,Pilbara,DAIP page live; 5-year refresh cycle assumed. Pilbara high-budget priority (port royalties),"team only — Access and Inclusion page; council@porthedland.wa.gov.au, 9158 9300",not found — use general,"council@porthedland.wa.gov.au, (08) 9158 9300",https://www.porthedland.wa.gov.au
1,Shire of Ashburton,Pilbara,DAIP page live; 5-year cycle. Pilbara high-budget priority (Onslow + Tom Price + Paraburdoo iron ore + LNG royalties),not found — use general,not found — use general,"ashburton@ashburton.wa.gov.au, (08) 9188 4444",https://www.ashburton.wa.gov.au
1,Shire of East Pilbara,Pilbara,AIP 2020–2025 published; refresh imminent. Pilbara high-budget priority (Newman; BHP iron ore footprint),not found — use general,not found — use general,"reception@eastpilbara.wa.gov.au, (08) 9175 8000",https://www.eastpilbara.wa.gov.au
1,Shire of Wyndham–East Kimberley,Kimberley,Disability Access and Inclusion Committee active since 2021; current DAIP refresh due,team only — Disability Access and Inclusion Committee,not found — use general,"council@swek.wa.gov.au, (08) 9168 4100",https://www.swek.wa.gov.au
1,Shire of Derby–West Kimberley,Kimberley,DAIP 2022–2027 endorsed June 2022; mid-cycle. Kimberley priority,team only — DAIP listed in council documents,not found — use general,"council@sdwk.wa.gov.au, (08) 9191 0999",https://www.sdwk.wa.gov.au
1,Shire of Halls Creek,Kimberley,DAIP page status unclear; 5-year cycle assumed. Kimberley priority,not found — use general,not found — use general,"reception@hcshire.wa.gov.au, (08) 9168 6007",https://www.hallscreek.wa.gov.au
1,Shire of Merredin,Wheatbelt,DAIP 2025–2030 endorsed June 2025 (recently adopted),team only — DAIP working group,not found — use general,"shire@merredin.wa.gov.au, (08) 9041 1611",https://www.merredin.wa.gov.au
1,Shire of Collie,South West,DAIP 2025–2029 published September 2025 (recently adopted),team only — Public Documents page,not found — use general,"mail@collie.wa.gov.au, (08) 9734 9000",https://www.collie.wa.gov.au
1,City of Busselton,South West,DAIP 2025–2029 published (recently adopted post-consultation),team only — Your Say Busselton DAIP project lead,not found — use general,"city@busselton.wa.gov.au, (08) 9781 0444",https://www.busselton.wa.gov.au
1,Shire of Plantagenet,Great Southern,DAIP 2024–2029 adopted; reviewed every 5 years,team only — Access and Inclusion page,not found — use general,"info@sop.wa.gov.au, (08) 9892 1111",https://www.plantagenet.wa.gov.au
1,Shire of Manjimup,South West,AIP 2024–2029 launched (recently adopted),team only — Access & Inclusion page,Greg Tweedie Director Community Services (email via general),"info@manjimup.wa.gov.au, (08) 9771 7777",https://www.manjimup.wa.gov.au
1,Shire of Donnybrook–Balingup,South West,DAIP 2024–2029 adopted; Access & Inclusion Reference Group EOI extended,team only — Access & Inclusion Reference Group,not found — use general,"shire@donnybrook.wa.gov.au, (08) 9780 4200",https://www.donnybrook-balingup.wa.gov.au
1,Shire of Denmark,Great Southern,DAIP 2023–2028 consulted (April 2024); recently adopted,team only — yourdenmark.wa.gov.au/daip-review,not found — use general,"enquiries@denmark.wa.gov.au, (08) 9848 0300",https://www.denmark.wa.gov.au
1,City of Greater Geraldton,Mid West,AIP 2024–2029 launched 18 July 2024; recently adopted,team only — DAIP working group,Phil Melling Manager Strategic Projects (email via general); Ron Worthington Director Sustainable Communities (email via general),"council@cgg.wa.gov.au, (08) 9956 6600",https://www.cgg.wa.gov.au
1,City of Melville,Perth Metro,DAIP 2024–2029 adopted; recently adopted,team only — DAIP project,not found — use general,"melinfo@melville.wa.gov.au, 1300 635 845",https://www.melvillecity.com.au
2,City of Wanneroo,Perth Metro,Community Development Plan 2021/22–2025/26 acts as AIP; refresh due as plan ends June 2026,team only — Social Plans Review page,not found — use general,"enquiries@wanneroo.wa.gov.au, (08) 9405 5000",https://www.wanneroo.wa.gov.au
2,City of Swan,Perth Metro,AIP 2023–2027 current; mid-cycle; refresh window 2026–2027,team only — Disability and Community Care page,not found — use general,"swan@swan.wa.gov.au, (08) 9267 9267",https://www.swan.wa.gov.au
2,City of Joondalup,Perth Metro,DAIP page live; new plan in development for next year (per Jan 2026 council update),team only — Disability and Inclusion page,not found — use general,"enquiries@joondalup.wa.gov.au, (08) 9400 4000",https://www.joondalup.wa.gov.au
2,City of Cockburn,Perth Metro,DAIP page live; refresh review due under 5-year cycle,team only — DAIPlan page,not found — use general,"customer@cockburn.wa.gov.au, (08) 9411 3444",https://www.cockburn.wa.gov.au
2,City of Canning,Perth Metro,DAIP 2023–2028 current; mid-cycle; Disability Access and Inclusion Grant program active,"team only — Your Say Canning Access and Inclusion Hub; community@canning.wa.gov.au",not found — use general,"customer@canning.wa.gov.au, 1300 422 664",https://www.canning.wa.gov.au
2,City of Bayswater,Perth Metro,Access and Inclusion Plan page live; refresh cycle assumed,not found — use general,not found — use general,"mail@bayswater.wa.gov.au, (08) 9272 0622",https://www.bayswater.wa.gov.au
2,City of Belmont,Perth Metro,DAIP page live; refresh cycle assumed; Small Business Friendly LG,not found — use general,not found — use general,"belmont@belmont.wa.gov.au, (08) 9477 7222",https://www.belmont.wa.gov.au
2,City of Bunbury,South West,DAIP 2023–2028 endorsed; mid-cycle; South West regional hub,team only — communityconnect.bunbury.wa.gov.au,not found — use general,"bunbury@bunbury.wa.gov.au, (08) 9792 7000",https://www.bunbury.wa.gov.au
2,City of Kalamunda,Perth Metro,DAIP page live; refresh cycle assumed; Small Business Friendly LG with accessibility toolkit,not found — use general,not found — use general,"enquiries@kalamunda.wa.gov.au, (08) 9257 9999",https://www.kalamunda.wa.gov.au
2,Shire of Mundaring,Perth Metro,Access and Inclusion Informing Strategy in place; Inclusion and Disability Access Advisory Group active,team only — Inclusion and Disability Access Advisory Group,not found — use general,"shire@mundaring.wa.gov.au, (08) 9290 6666",https://www.mundaring.wa.gov.au
2,City of Subiaco,Perth Metro,DAIP 2023–2028 current; mid-cycle,team only — haveyoursay.subiaco.wa.gov.au/daip2023-2028,not found — use general,"city@subiaco.wa.gov.au, (08) 9237 9222",https://www.subiaco.wa.gov.au
2,City of South Perth,Perth Metro,AIP 2022–2027 endorsed Feb 2023; mid-cycle; expanded scope,team only — Your Say South Perth/aip,not found — use general,"enquiries@southperth.wa.gov.au, (08) 9474 0777",https://southperth.wa.gov.au
2,City of Vincent,Perth Metro,DAIP page live; refresh cycle assumed,not found — use general,not found — use general,"mail@vincent.wa.gov.au, (08) 9273 6000",https://www.vincent.wa.gov.au
2,City of Nedlands,Perth Metro,DAIP page live; refresh cycle assumed,not found — use general,not found — use general,"council@nedlands.wa.gov.au, (08) 9273 3500",https://www.nedlands.wa.gov.au
2,City of Gosnells,Perth Metro,DAIP page live; refresh cycle assumed,not found — use general,not found — use general,"council@gosnells.wa.gov.au, (08) 9397 3000",https://www.gosnells.wa.gov.au
2,Town of Victoria Park,Perth Metro,Access & Inclusion Plan 2022–2027 current; mid-cycle; AIAG active,team only — Your Thoughts Victoria Park/access-inclusion-plan,not found — use general,"admin@vicpark.wa.gov.au, (08) 9311 8111",https://www.victoriapark.wa.gov.au
2,Town of Bassendean,Perth Metro,Access and Inclusion Plan 2019–2024 (expired refresh due),not found — use general,not found — use general,"mail@bassendean.wa.gov.au, (08) 9377 8000",https://www.bassendean.wa.gov.au
2,Town of Cambridge,Perth Metro,DAIP page live (Have Your Say DAIP review); refresh due under 5-year cycle,team only — DAIP review FAQs,not found — use general,"mail@cambridge.wa.gov.au, (08) 9347 6000",https://www.cambridge.wa.gov.au
2,Town of Mosman Park,Perth Metro,DAIP 2022–2027 adopted; mid-cycle,team only — Disability Access and Inclusion page,not found — use general,"council@mosmanpark.wa.gov.au, (08) 9384 1633",https://www.mosmanpark.wa.gov.au
2,Town of Cottesloe,Perth Metro,Disability Access & Inclusion page live; refresh cycle assumed,not found — use general,not found — use general,"council@cottesloe.wa.gov.au, (08) 9285 5000",https://www.cottesloe.wa.gov.au
2,Town of Claremont,Perth Metro,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"enquiries@claremont.wa.gov.au, (08) 9285 4300",https://www.claremont.wa.gov.au
2,Town of East Fremantle,Perth Metro,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"admin@eastfremantle.wa.gov.au, (08) 9339 9339",https://www.eastfremantle.wa.gov.au
2,Shire of Peppermint Grove,Perth Metro,DAIP page live; 7 outcome areas framework; refresh cycle assumed; smallest LGA in WA,team only — Disability Access and Inclusion page,not found — use general,"mail@peppermintgrove.wa.gov.au, (08) 9286 8700",https://www.peppermintgrove.wa.gov.au
2,Shire of Serpentine–Jarrahdale,Peel,DAIP page live; refresh cycle assumed; Small Business Friendly LG,not found — use general,not found — use general,"info@sjshire.wa.gov.au, (08) 9526 1111",https://www.sjshire.wa.gov.au
2,Shire of Murray,Peel,DAIP page presence not confirmed; refresh cycle assumed,not found — use general,not found — use general,"murray@murray.wa.gov.au, (08) 9531 7777",https://www.murray.wa.gov.au
2,Shire of Boddington,Peel,DAIP page presence not confirmed; refresh cycle assumed,not found — use general,not found — use general,"enquiries@boddington.wa.gov.au, (08) 9883 4999",https://www.boddington.wa.gov.au
2,Shire of Waroona,Peel,DAIP page presence not confirmed; refresh cycle assumed,not found — use general,not found — use general,"mail@waroona.wa.gov.au, (08) 9733 7800",https://www.waroona.wa.gov.au
2,City of Albany,Great Southern,DAIP page live; refresh cycle assumed; Great Southern regional hub,not found — use general,not found — use general,"albany@albany.wa.gov.au, (08) 6820 3000",https://www.albany.wa.gov.au
2,City of Kalgoorlie–Boulder,Goldfields-Esperance,DAIP page on documents/policies; refresh cycle assumed; Goldfields regional hub,not found — use general,not found — use general,"mailbag@ckb.wa.gov.au, (08) 9021 9600",https://www.ckb.wa.gov.au
2,Shire of Esperance,Goldfields-Esperance,DAIP presence assumed under statutory obligation; not confirmed via public web,not found — use general,not found — use general,"shire@esperance.wa.gov.au, (08) 9071 0666",https://www.esperance.wa.gov.au
2,Shire of Augusta–Margaret River,South West,AIP 2018–2022 last published; significant refresh overdue,team only — Your Say Augusta Margaret River,not found — use general,"amrshire@amrshire.wa.gov.au, (08) 9780 5255",https://www.amrshire.wa.gov.au
2,Shire of Capel,South West,DAIP page presence not confirmed; statutory obligation applies,not found — use general,not found — use general,"mail@capel.wa.gov.au, (08) 9727 0222",https://www.capel.wa.gov.au
